,holiday,workingday,temp,hum,windspeed,cnt,season_2,season_3,season_4,MISTY,RAIN,days_since_2011
0,0,0,8.175849,80.58330000000001,10.749882,985,0,0,0,1,0,0
1,0,0,9.083466000000001,69.6087,16.652113,801,0,0,0,1,0,1
2,0,1,1.229108,43.7273,16.636703,1349,0,0,0,0,0,2
3,0,1,1.4000000000000004,59.0435,10.739832,1562,0,0,0,0,0,3
4,0,1,2.6669790000000013,43.695699999999995,12.522300000000001,1600,0,0,0,0,0,4
5,0,1,1.6043559999999992,51.8261,6.0008684,1606,0,0,0,0,0,5
6,0,1,1.2365340000000007,49.869600000000005,11.304642,1510,0,0,0,1,0,6
7,0,0,-0.24499999999999922,53.5833,17.875868,959,0,0,0,1,0,7
8,0,0,-1.498349000000001,43.416700000000006,24.25065,822,0,0,0,0,0,8
9,0,1,-0.9108490000000007,48.2917,14.958889000000001,1321,0,0,0,0,0,9
10,0,1,-0.05272299999999941,68.63640000000001,8.182844,1263,0,0,0,1,0,10
11,0,1,0.11816899999999997,59.954499999999996,20.410009,1162,0,0,0,0,0,11
12,0,1,-0.24499999999999922,47.041700000000006,20.166999999999998,1406,0,0,0,0,0,12
13,0,1,-0.43910999999999945,53.7826,8.478716,1421,0,0,0,0,0,13
14,0,0,2.966650999999999,49.875,10.583521000000001,1248,0,0,0,1,0,14
15,0,0,2.888349,48.375,12.625010999999999,1204,0,0,0,0,0,15
16,1,0,0.264151,53.75,12.999139,1000,0,0,0,1,0,16
17,0,1,2.1833489999999998,86.16669999999999,9.833924999999999,683,0,0,0,1,0,17
18,0,1,5.732177999999999,74.1739,13.957239,1650,0,0,0,1,0,18
19,0,1,4.298349,53.833299999999994,13.125568,1927,0,0,0,1,0,19
20,0,1,0.34249999999999936,45.7083,23.667214,1543,0,0,0,0,0,20
21,0,0,-5.2208711999999995,40.0,11.52199,981,0,0,0,0,0,21
22,0,0,-3.4634801,43.6522,16.5222,986,0,0,0,0,0,22
23,0,1,-3.4226089,49.1739,10.60811,1416,0,0,0,0,0,23
24,0,1,2.5034660000000013,61.695699999999995,8.696332,1985,0,0,0,1,0,24
25,0,1,2.2225,86.25,19.68795,506,0,0,0,0,1,25
26,0,1,1.165000000000001,68.75,7.627078999999999,431,0,0,0,0,0,26
